,type,fullnames,model,n_samples,avg_dice,tile_sizes,pixel_sizes,dice_sample_0,dice_sample_1,dice_sample_2,dice_sample_3,dice_sample_4,dice_sample_5,dice_sample_6,dice_sample_7,dice_sample_8,dice_sample_9,dice_sample_10,dice_sample_11,dice_sample_12,dice_sample_13,dice_sample_14,dice_sample_15,dice_sample_16,dice_sample_17,dice_sample_18,dice_sample_19,dice_sample_20,dice_sample_21,dice_sample_22,dice_sample_23,dice_sample_24,dice_sample_25,dice_sample_26,dice_sample_27,dice_sample_28,dice_sample_29
31,base,deeplab_512_25_n8_RESNET50,deeplab,8,0.3116923090996177,512,25,0.2114368092263334,0.0196825396825396,0.0,0.0140871643292874,0.5423728813559322,0.1351923316320179,0.6293716767767543,0.3048823322795925,0.6799903684083795,0.517510958470785,0.0,0.6026058631921825,0.2403135835971656,0.4471113591962043,0.2670100880017171,0.4604456824512535,0.4914756025867137,0.2980724024447578,0.7689735874289535,0.2343186114452655,0.3929824561403509,0.534466477809254,0.580110497237569,0.0190571715145436,0.3751703255109765,0.1457074867289035,0.0,0.3235724743777452,0.0,0.1148485411633525
32,base,samlora_256_10_n128_VIT_B,samlora,128,0.5446993980267885,256,10,0.4532753803166718,0.1337986712639811,0.3837029396596184,0.0042599474304359,0.577448477351091,0.3025345686225412,0.7312878032353741,0.7177770229834862,0.8087224603353635,0.7238826501263037,0.4895194348344332,0.7011021307861867,0.6899303312322118,0.6631738656298896,0.7670248989146627,0.7671457344758134,0.3785488958990536,0.780361357217472,0.7530091050410838,0.2682079148985196,0.5209257576567428,0.6851009016745384,0.3858609794628752,0.764856619890177,0.7351705343957996,0.3714902807775378,0.3356349635663601,0.8036733499195082,0.3400792646934817,0.3034756985124436
33,base,samlora_256_10_n128_VIT_L,samlora,128,0.532175780092129,256,10,0.4483967935871743,0.1968948257723085,0.2646129541864139,0.2354811628442582,0.5291056188643876,0.1696846795384439,0.7638045808417014,0.6863010545981291,0.7259001792212024,0.8270966711173496,0.3738227813294837,0.7500415765840679,0.7337682803832577,0.5734669095324832,0.4901104635991998,0.8072979280107488,0.4783897643938212,0.6636837678721614,0.6279559442824749,0.6977316315058528,0.405877713669005,0.6342828914869093,0.4823586273562107,0.5841966697439054,0.6887675812623248,0.2777377048015321,0.5623318385650224,0.6817625987253816,0.2575115656196737,0.3468986434689864
34,base,samlora_256_10_n2_VIT_B,samlora,2,0.4942892087093556,256,10,0.4683479739302918,0.0277790143792013,0.4378450409289929,0.0119663122297011,0.6387032748924909,0.3679814048086002,0.3002454740718012,0.3994501553908678,0.842160361646443,0.2697885086021113,0.6587349763263324,0.7168781114501365,0.4636220884585187,0.5632444515407952,0.7290741155038512,0.8094565175877477,0.4987574719591645,0.8274024270252541,0.7658385712860422,0.0655576869572857,0.5333262745513262,0.6505240919801739,0.4858569051580699,0.7095848801889977,0.7600453857791225,0.3463413151201321,0.0,0.7408785233939047,0.2455813953488372,0.4937035507844756
35,base,samlora_256_10_n2_VIT_L,samlora,2,0.5748383608324269,256,10,0.368019447633196,0.0630232258618469,0.633667989726827,0.0832706951207555,0.6571236430012489,0.4440821256038647,0.6077276357827476,0.6339487169202074,0.8260013131976363,0.5500795653017659,0.726266771174328,0.8309019930141771,0.7688948010198426,0.5710600375234521,0.7822381378692927,0.7673946924571404,0.4259229405126551,0.8777298920149146,0.7831700549294978,0.4483285416992457,0.4083206312202995,0.8011426060206548,0.4354454502143878,0.6952065431204059,0.7247023543901612,0.2754243443474762,0.2870991194765328,0.7467359323280618,0.4384620694415683,0.5837595540486179
36,base,samlora_256_10_n32_VIT_B,samlora,32,0.5500844718411568,256,10,0.7093516822304633,0.0101436338553923,0.0,0.0243617270041028,0.6328127557869233,0.274006116207951,0.67288534009925,0.6852959866634756,0.8362994691119691,0.7259851052837178,0.6256425538255234,0.7250592885375494,0.8022168718484531,0.542746529233349,0.7987426632173357,0.8169348939283102,0.4340471235819292,0.8238585678371584,0.7392373373865617,0.6383786268143338,0.5281693944795549,0.6679700782046922,0.4540954095409541,0.7053360421244662,0.7421263060893863,0.4174913061665345,0.1652098206512275,0.7974779754707203,0.1861111754755891,0.3205403745778323
37,base,samlora_256_10_n32_VIT_L,samlora,32,0.5549091298005416,256,10,0.433245478505862,0.1245487364620938,0.5291479820627802,0.3088756913961105,0.611703511053316,0.2848591964180511,0.6167805411314566,0.7269640589631756,0.8016129501848779,0.7908106147805932,0.45458984375,0.7361519710851475,0.6924030983564358,0.6487038267970753,0.6501309574444271,0.7500118989068871,0.5253224711473184,0.7576742779373961,0.6631212926978932,0.420353701276581,0.4250053187717183,0.6886950392105031,0.482541222114452,0.8024357239512855,0.7143585386576041,0.3129636975953138,0.4414689975084571,0.6688073273763308,0.2200191942498928,0.3639667342232162
38,base,samlora_256_10_n8_VIT_B,samlora,8,0.5699444666666668,256,10,0.701509,0.066568,0.363434,0.114387,0.615121,0.294325,0.676186,0.727299,0.858883,0.83029,0.609025,0.739657,0.79066,0.627031,0.756186,0.771746,0.421457,0.861069,0.741713,0.677128,0.522272,0.753627,0.524785,0.683438,0.733224,0.378203,0.059196,0.806049,0.151755,0.242111
39,base,samlora_256_10_n8_VIT_L,samlora,8,0.4993206666666666,256,10,0.413628,0.125225,0.366178,0.151116,0.559438,0.206583,0.674998,0.609343,0.753134,0.782168,0.452594,0.525862,0.72983,0.626857,0.701568,0.766753,0.403386,0.531577,0.721542,0.567805,0.401471,0.458368,0.463189,0.632624,0.682438,0.285691,0.188398,0.794504,0.198167,0.205185
40,base,samlora_256_25_n128_VIT_B,samlora,128,0.4473447333333333,256,25,0.311866,0.183412,0.110747,0.126786,0.609981,0.22137,0.465552,0.644636,0.693536,0.773163,0.392478,0.448514,0.552376,0.714981,0.532664,0.652354,0.345943,0.886206,0.438398,0.751142,0.272106,0.347032,0.175446,0.457344,0.731057,0.262521,0.296835,0.479696,0.109749,0.432451
41,base,samlora_256_25_n128_VIT_L,samlora,128,0.5394759757371634,256,25,0.3252710592160133,0.217032967032967,0.2074600355239786,0.0968848996832101,0.7401857956248127,0.3392149801944544,0.6666254329539831,0.8037424325811777,0.8334127059719973,0.8615812999193962,0.6105263157894737,0.5353426623609616,0.5923223109083998,0.7385918143327583,0.7315644383184011,0.7344715617471457,0.3818306010928962,0.8901639344262295,0.6880636604774536,0.6508574659212262,0.5073529411764706,0.3522048364153627,0.220419202163624,0.7956403269754768,0.7969316596931659,0.2726657475874169,0.3541440069610616,0.5393836875781423,0.2367094408799266,0.4636810486073184
42,base,samlora_256_25_n2_VIT_B,samlora,2,0.468958922131567,256,25,0.4114653094026252,0.1796969696969697,0.2393429800547516,0.0091880742546409,0.3283195020746888,0.2597597597597597,0.6194436044753553,0.6946238799749948,0.785405176071277,0.6326637293704727,0.5145430662413211,0.5637202697905573,0.7322147993268397,0.7120532260560112,0.7772702357025397,0.7691123088769112,0.3337605742117406,0.5803571428571429,0.7836644591611479,0.343896743732519,0.40705734089477,0.2819441389927424,0.1416735708367854,0.7388877403349183,0.6416223901818454,0.2701227830832196,0.0,0.7623280423280423,0.1256357633621843,0.4289940828402367
